연월별,시군구별,연료별,용도별,승    용,승    합,화    물,특    수,계
2019-12-31,동작구,전기,사업용,15,0,0,0,15
2019-12-31,관악구,전기,비사업용,216,0,1,0,217
2019-12-31,관악구,전기,사업용,22,11,0,0,33
2019-12-31,서초구,전기,비사업용,1027,1,55,0,1083
2019-12-31,서초구,전기,사업용,69,0,0,0,69
2019-12-31,강남구,전기,비사업용,934,0,1,0,935
2019-12-31,강남구,전기,사업용,4821,0,0,0,4821
2019-12-31,송파구,전기,비사업용,572,0,9,0,581
2019-12-31,송파구,전기,사업용,36,0,0,0,36
2019-12-31,강동구,전기,비사업용,272,0,0,0,272
2019-12-31,강동구,전기,사업용,67,15,0,0,82
2020-12-31,종로구,전기,비사업용,252,0,15,0,267
2020-12-31,종로구,전기,사업용,5,0,6,0,11
2020-12-31,중 구,전기,비사업용,446,2,18,0,466
2020-12-31,중 구,전기,사업용,239,0,9,0,248
2020-12-31,용산구,전기,비사업용,449,1,16,0,466
2020-12-31,용산구,전기,사업용,2,0,11,0,13
2020-12-31,성동구,전기,비사업용,421,0,33,1,455
2020-12-31,성동구,전기,사업용,549,23,14,0,586
2020-12-31,광진구,전기,비사업용,249,0,29,1,279
2020-12-31,광진구,전기,사업용,14,0,11,0,25
2020-12-31,동대문구,전기,비사업용,245,0,34,0,279
2020-12-31,동대문구,전기,사업용,17,0,16,0,33
2020-12-31,중랑구,전기,비사업용,223,0,30,0,253
2020-12-31,중랑구,전기,사업용,88,24,47,0,159
2020-12-31,성북구,전기,비사업용,361,0,26,0,387
2020-12-31,성북구,전기,사업용,39,72,32,0,143
2020-12-31,강북구,전기,비사업용,177,0,31,0,208
2020-12-31,강북구,전기,사업용,45,20,25,0,90
2020-12-31,도봉구,전기,비사업용,176,0,35,5,216
2020-12-31,도봉구,전기,사업용,90,8,33,0,131
2020-12-31,노원구,전기,비사업용,325,1,32,1,359
2020-12-31,노원구,전기,사업용,72,17,47,0,136
2020-12-31,은평구,전기,비사업용,324,0,32,1,357
2020-12-31,은평구,전기,사업용,89,0,46,0,135
2020-12-31,서대문구,전기,비사업용,269,0,19,0,288
2020-12-31,서대문구,전기,사업용,29,30,11,0,70
2020-12-31,마포구,전기,비사업용,457,1,40,3,501
2020-12-31,마포구,전기,사업용,30,16,20,0,66
2020-12-31,양천구,전기,비사업용,367,0,51,0,418
2020-12-31,양천구,전기,사업용,43,63,33,0,139
2020-12-31,강서구,전기,비사업용,473,0,46,1,520
2020-12-31,강서구,전기,사업용,222,20,43,0,285
2020-12-31,구로구,전기,비사업용,306,0,69,0,375
2020-12-31,구로구,전기,사업용,521,10,38,0,569
2020-12-31,금천구,전기,비사업용,330,0,31,1,362
2020-12-31,금천구,전기,사업용,50,12,15,0,77
2020-12-31,영등포구,전기,비사업용,602,0,677,2,1281
2020-12-31,영등포구,전기,사업용,637,0,24,0,661
2020-12-31,동작구,전기,비사업용,324,0,29,0,353
2020-12-31,동작구,전기,사업용,21,0,16,0,37
2020-12-31,관악구,전기,비사업용,292,2,29,0,323
2020-12-31,관악구,전기,사업용,35,39,15,0,89
2020-12-31,서초구,전기,비사업용,1808,1,99,2,1910
2020-12-31,서초구,전기,사업용,131,0,17,0,148
2020-12-31,강남구,전기,비사업용,1521,0,48,0,1569
2020-12-31,강남구,전기,사업용,5902,0,24,0,5926
2020-12-31,송파구,전기,비사업용,863,0,94,2,959
2020-12-31,송파구,전기,사업용,81,0,35,0,116
2020-12-31,강동구,전기,비사업용,451,0,38,0,489
2020-12-31,강동구,전기,사업용,101,20,39,0,160
2021-12-31,종로구,전기,비사업용,485,1,36,0,522
2021-12-31,종로구,전기,사업용,59,2,23,0,84
2021-12-31,중 구,전기,비사업용,576,3,47,0,626
2021-12-31,중 구,전기,사업용,268,0,56,0,324
2021-12-31,용산구,전기,비사업용,862,1,51,0,914
2021-12-31,용산구,전기,사업용,6,0,37,0,43
2021-12-31,성동구,전기,비사업용,744,1,87,1,833
2021-12-31,성동구,전기,사업용,587,25,49,0,661
2021-12-31,광진구,전기,비사업용,443,0,54,3,500
2021-12-31,광진구,전기,사업용,39,2,49,0,90
